problem_id,all_attempts,successful_attempts
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@7c50d262b9174180bf7bf15f574130f9,82,80
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@7dacdb77be044d92b883a3737de40bbb,32,14
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@7de52006705b425cab2443f2bdd229a2,75,46
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@7fd0838f083d461fbdd0724b84f2659b,57,56
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8005a7cf95cc43dfb501334c2068aaa1,129,90
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@80913220821b49009d3a1d15aafbf6cf,100,90
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@809c6d573b9b4b478d815488381f84df,34,19
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@811df105c44f48019e3ed371a2af9868,69,49
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@811f4ffd287c05c17ae1,7,2
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8160237ddb174fad944eb9de1f5e16fd,80,41
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@826c5854a6104040b08687c64fbd9c09,57,56
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@836bb4a8fc8e47a788eb4c01bfea2bb3,121,90
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@83db50a5637a4e34a565ef2c1d19727d,145,121
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8468ec214fa0494cabf71a1a04c48c12,395,130
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@84d9793f29ab4fd3b17c492ef083a7c9,115,86
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@84e12dc73f8d42969216b4ebe508420f,98,72
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@84e3494e91ec4afe9d05a663a7d9d425,159,137
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8570d4e1f1372379566c,27,6
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@85b5b2510e194bfd8283492187371321,252,105
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@85debfa679fe4ec1b195497a1d15385c,30,15
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@87d0bc0c3973473193e6fa7dd90d37cc,192,105
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@888d9b37bcd04c3ebafe47a2b2207e72,49,39
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@88bb238a18974e74bc3fdbda8e914173,15,8
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8a17ec37ee5e4c363443,11,5
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8a86f62ce7854dc797757280aeaf6d57,153,74
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8aa398110241433aa55e4ff65f4aa56e,114,90
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8c75f26e994f47b582733ca3cc7edfc7,103,80
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8dd6a6b9065e43b89bba2142ab8d7c5e,67,57
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8f13e34645ce46d28b74ef77db804599,112,87
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8fc8025f165a42259a7339611eee21e7,117,52
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8ff561f433df46b1a8490a0ae78541f4,143,48
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8ff6e39e9d834647b00af3fcf56c676d,95,93
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@8ff7bdd1b84d4d49ab37efdd5bf92010,30,16
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@912cbc4c5efb45cf98538d261b4ddda0,133,119
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@91334039d0b54166981255272a8d6a1e,31,20
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@92171bd62cff4934a5c5ce3e929da98e,77,60
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@92979d4c81a4460c80badbc8760dc306,169,90
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@9357d212de2663785aa0,14,5
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@9392207e6cc84e09b641777dcfc5deca,97,52
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@94f99f95999340daba8b279bda74f99c,108,82
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@961ac451db284444aa2c250d989707ab,70,52
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@97050c31a0a74f098c56dee85e345e74,16,12
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@971b454a56be40cfb66126da87b86de2,43,41
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@990e289cb7254de18dc3b906d765ddb3,79,69
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@9bac3492d9274cb28c256ef434aa67d0,209,87
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@9c27ff4094744d87bbfd3f3dc0a34f1b,43,41
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@9e109f6435d2df6c4dcb,20,7
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@9e5ad213eefa4ad8955100cc2961126a,133,127
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@9f4620a79121624c8a80,25,10
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@9fe93e53f7a04ecb9f4222056160aec5,87,86
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@a13db016f3a149b0b9bda34b8a2f6a2f,120,100
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@a152256088b44177bedbdd55561d9d45,63,59
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@a20ec1790f6a411faae1fa9e0c39fd9b,128,123
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@a21b8f308a954464aac990944a6cdc73,95,35
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@a25a629f4e0a45ebabe55d370dc7b3cb,94,56
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@a324582fc9574ae486f8b465b14b13d6,65,51
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@a48760f139b04a3ca51038fd28ab67d4,96,95
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@a519efad2b8d4ad3a2a4e8ff8365783d,136,130
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@a70550fc56ebdeb2a5be,7,7
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@a7c042f5e3164b6bae320adb8b523da5,104,78
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@a8ad350457554a0d897e449390aa7b07,120,104
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@a90e5b047c8a4a47821848c151dba67d,130,93
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@aa28a2e60c544862a2d8adf18df0a04e,141,84
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@aca6aa7795f1426ab1ba108a6fc92f47,138,92
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@ae41b7ea4ab446be9dd97ca547165e93,144,89
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@ae551b12e37640e0963c45ba6aee24a2,134,86
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@aedcd121a71549f1be9ae3d658133a1a,186,87
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@aef10bb10e0740a9b03442c9e0b03b58,25,19
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@af4a3cfaf8d0472982a51181bde880e3,129,126
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@afb576e184b74114aaf4f7f81b882421,95,87
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@b15d373d6ad6a920b58e,9,3
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@b1d6708238fd4ac09678ed5711818d6d,181,93
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@b223e154dea64dc2953e29fe4036afc9,65,57
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@b26d2be1a72748528f8ae5195ae6871c,141,126
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@b341ed911cac4fc0b21d282ca2828d5d,232,125
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@b3706eb92fd14c4caa798fdfe1f391b9,21,11
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@b4f0aba41f344652abcf8601b0505b8a,174,94
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@b516f320c4b449758d0fc0532c1a098c,128,107
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@b6009a399c3e48d5b9fb6c357d49caf3,73,54
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@b73aa73b54ff412391e04dbaf0c8762e,11,8
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@b8d1eee512184194bf156b7c8bf53e64,201,113
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@b926c9d4f40d480ab8d4c725fee8893f,118,91
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@ba675b552cce460cb4561f89ffc2fdc6,140,108
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@ba7e5fb33f55d7c584e8,23,10
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@baa8cb7857c543ecab22270677e3a94c,42,42
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@bb41bc323e5e4944b9aa640bc0d9ef42,27,16
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@bb6906307a5d4b52a6bb3ff4c937493a,127,93
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@bc3b6aba9c424aa89c5422a08fbc4d28,106,51
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@bc7fe75653444bd9b20006c18140f74a,69,37
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@bca273723b8e4df7a44643ac4beab40a,135,110
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@bd01127a007e49a5ada4c68e5b0acc2b,18,10
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@bd177feb9d9841449c78e927d590979c,71,53
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@be0d2a488049476db47e0f7181ae0bf2,15,8
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@c04e38fe97b2439cb8da052d9207ef6e,62,51
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@c10779456d83475eadb62504705d2d0e,82,64
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@c1dfbcacf0204291bca385f9864b48ae,102,88
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@c2bf072f11394a27b11f85293fddb467,158,89
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@c44512d434824af1ac7ecf0514227d9b,198,145
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@c47ddfc67dfc42a9b339bfd4334749e3,159,89
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@c5890a23313a4161ae139585565e234e,125,106
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@c59ff191778a40b7899db6b0f0e53ceb,148,77
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@c6dabaee42b7449baa6f5d9ed8a62139,74,48
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@c83d424f09e344a2aa8ebeced17dcc2d,76,38
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@c84b2880af3046cbb3789d1556955a72,25,16
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@c8761e4e19fa439b95ce1a517b59a4dc,61,52
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@c8979496345c4fe5aa83d172158fe742,161,117
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@c8d0ab71a7b8430cb615bebaa0f3de8d,26,16
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@c8d328d6b0574f8799181904b7d2e4a1,132,89
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@c94d6386d9a34918ae9436e230fe56a6,49,32
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@c9eba0c5fbd5458299c51e59c9525816,71,38
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@cb684d5c424548a89c8ec74861ab1cf0,102,79
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@cbb8cd56caf3471cbfc2217043cabd6a,89,46
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@cbc600f8731a4318be3a0a072adac3e2,143,97
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@cc64dc04cbf44abc95aedd9173390d55,69,41
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@cd49d51c91994c229964c515a0b1dda2,47,42
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@ce68168870d144e4a5144289cc99fe9b,149,143
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@d09c48e56e97549d6772,12,4
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@d09db272d5f34867adb73a11351a9e96,99,31
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@d125e56379c54693be217d218ed11e30,45,42
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@d168b7d74b6a4b2dabc6fc022f81acc7,78,47
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@d329cf1d860346c588cb6ccced4ee379,63,52
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@d4d4818f358d42ce86de8cc62ba133b2,72,38
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@d5321404f7e5417082e7f699fe50c447,192,132
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@d53d7e2a19154b97bc99b32eb9dbf9cd,82,49
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@d57c5033abbd4c9785aab75b3d77ca11,71,30
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@d5e839bfffd14f68ab3d1c88732591fb,95,79
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@d690801c68ca4b639b7fd92831941675,136,47
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@d76ea98982cf49b29f36b10d67c51d9c,134,118
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@d80bb02367d9496a9140bf759fcbb342,152,104
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@d8507214502246cabf217dace680e3bf,109,90
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@da45f058b6224f83a0f9f59766095b62,109,97
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@db62fc419f7440f798f63d53b9edd5c2,169,91
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@dc6156f0c84e464e94ebaa77f2dd9b68,50,46
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@dc916781ca88493a9f9720b505817945,62,51
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@dd953b945ded4037ae3d193f233674df,61,55
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@df862c13ad3f4a6ea1633f0086bf0552,88,80
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@dfb64e3d4fe74f198f61221f0abd7386,37,20
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@dfc23b9721e146d096bcc77c4a74128a,209,119
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@dfd499350e134cbc90752126a2addfb8,17,9
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@e0adf31242fb47d4971d4723a381557d,149,70
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@e1466978909d4f37b7b8fc7e92600f55,186,139
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@e154f5568d92447698864df855a7bdbe,63,63
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@e179210db47a4bcbab44205c30a9b2aa,103,53
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@e2630b2e5eca44ed83f9ffc13baa6e3d,108,96
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@e30ec97dd08546d7a8171eaedd0d7748,60,54
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@e3d899b125474b0e8f0063c03ca7f023,136,135
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@e405daa0dd6e406696c175930f003fea,58,52
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@e47bbb43762245ff82be4cb6adbfe635,93,77
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@e5c287a95f9342858a33dc18de8c8398,126,100
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@e694f1be0f7c4a0d88c2ef110ca0367f,127,89
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@e77b44e7bbec421d9ad737815c1d6aba,125,55
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@e7bfd5ea2ef14ab5b573d55620d2a688,234,128
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@e803c84fead141169e2e16d502f0d02a,49,45
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@e84e6c6ff0e24214997853a5daada922,19,6
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@e8b39be377d745bbb8794ccafa54bd88,73,62
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@e8c1a2cab99a4dfb9f16324f43787478,122,95
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@ea46428e4ab643edb35be91823e8d544,43,43
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@eb8984dcdeae43e396b7df7c24f12814,82,37
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@ebd68de255bf44b3a16ddc704d64f4d1,120,111
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@ebdb15a653cd4382bc514f4279c72467,151,109
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@ecb5c80fdb244bf1a7b11b6ff916cc8d,106,80
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@ecee2cd5d0cf46d3ac320c6787001752,53,45
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@edd6851829134c41a400f3b9b576d5f2,147,102
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@eddcf772726040a3a11f76ea32d2610b,103,84
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@ef4cb85e03ff454ea6f214003ed9bbc9,68,46
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@f1c4f1fc984f4cfbb60d99fe184a1f8f,58,34
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@f1dea491e18e4f3fa724240b9ef6bfcb,69,51
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@f2f9e6080df34388bfffff2bb6b4196f,107,92
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@f2fd5c2639d4431dab1dbe8acb4ce696,127,114
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@f35ede063a714b608966987a0535e6e3,70,58
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@f39ba38a01bf4af5bad589780dfa67ad,89,72
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@f3ed91bc224548ffbd4f9f4547fbef84,18,5
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@f41af5c761a646e8a7086fa97c3e5135,164,133
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@f45d58b4beea491292e7bbf5b7d36e8d,139,83
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@f53e90f8f21344528e8cb5359047a55a,105,92
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@f5cd96b2673840f3ac08933d6b7bf9e4,136,126
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@f7519c9bd812af7c287a,3,3
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@f88386a96d0b4d85a39e795d54f02bda,52,37
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@f90b571ae0b64edbb847ed13de3245a6,130,95
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@f9a6cc43d4914b68a3e40e7e65e19dc1,134,128
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@f9bdffa4604f61397ff0,13,4
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@fa692bd7ed0d44d4b1f59239654cb697,92,91
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@fca0df668b624293b7b1c7724938271b,49,26
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@fd2d7774c2a746049ea73cd410b190d7,61,57
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@fe240b955cea48d2ac5a5a29eefc2db8,147,135
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@ff2da3431cb849428cd77d9665e2dbd2,154,87
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@ff63747439a94a6b9d555129b5673563,72,38
